film_title,category_name,rental_duration,standard_quartile
Tracy Cider,Animation,3,1
Wisdom Worker,Comedy,3,1
Telegraph Voyage,Music,3,1
Miracle Virtual,Animation,3,1
Jerk Paycheck,Classics,3,1
Doors President,Animation,3,1
Gables Metropolis,Family,3,1
Jeopardy Encino,Classics,3,1
Downhill Enough,Comedy,3,1
Party Knock,Comedy,7,1
Patient Sister,Classics,7,1
Silence Kane,Music,7,1
Siege Madre,Family,7,1
Shepherd Midsummer,Children,7,1
Sweden Shining,Comedy,6,1
African Egg,Family,6,1
Airplane Sierra,Comedy,6,1
Alaska Phantom,Music,6,1
Alice Fantasia,Classics,6,1
Alter Victory,Animation,6,1
Atlantis Cause,Family,6,1
Bedazzled Married,Family,6,1
Beneath Rush,Children,6,1
Boogie Amelie,Music,6,1
Caper Motions,Comedy,6,1
Clash Freddy,Animation,6,1
Clones Pinocchio,Music,6,1
Clue Grail,Music,6,1
Color Philadelphia,Classics,6,1
Confidential Interview,Music,6,1
Connection Microcosmos,Comedy,6,1
Crooked Frogmen,Children,6,1
Driving Polish,Music,6,1
Tootsie Pilot,Children,3,1
Maker Gables,Children,4,1
Mallrats United,Comedy,4,1
Massage Image,Animation,4,1
Memento Zoolander,Comedy,4,1
Million Ace,Classics,4,1
Minority Kiss,Music,4,1
Model Fish,Children,4,1
Champion Flatliners,Animation,4,1
Mulan Moon,Comedy,4,1
Natural Stock,Family,4,1
Snatchers Montezuma,Classics,4,1
Outfield Massacre,Music,4,1
Oz Liaisons,Animation,4,1
Vertigo Northwest,Comedy,4,1
Pinocchio Simon,Comedy,4,1
Pittsburgh Hunchback,Family,4,1
Prix Undefeated,Family,4,1
Killer Innocent,Family,7,1
Legally Secretary,Children,7,1
Legend Jedi,Music,7,1
Lights Deer,Classics,7,1
Spinal Rocky,Family,7,1
Spiking Element,Classics,7,1
Lucky Flying,Music,7,1
Westward Seabiscuit,Classics,7,1
Menagerie Rushmore,Animation,7,1
Music Boondock,Family,7,1
Musketeers Wait,Classics,7,1
Operation Operation,Comedy,7,1
Bringing Hysterical,Comedy,7,1
Opposite Necklace,Family,7,1
Oscar Gold,Animation,7,1
Hall Cassidy,Children,5,1
Hanover Galaxy,Music,5,1
Dying Maker,Comedy,5,1
Louisiana Harry,Family,5,1
Creepers Kane,Classics,5,1
Super Wyoming,Family,5,1
Heavenly Gun,Music,5,1
Comancheros Enemy,Children,5,1
Mystic Truman,Comedy,5,1
Sundance Invasion,Children,5,1
Chisum Behavior,Family,5,1
Remember Diary,Family,5,1
Summer Scarface,Classics,5,1
Sabrina Midnight,Children,5,1
Closer Bang,Comedy,5,1
Idols Snatchers,Children,5,1
Language Cowboy,Children,5,1
Anthem Luke,Comedy,5,1
Go Purple,Music,3,1
Bilko Anonymous,Family,3,1
Wait Cider,Animation,3,1
Daughter Madigan,Children,3,1
Turn Star,Animation,3,1
Rush Goodfellas,Family,3,1
Sweethearts Suspects,Children,3,1
King Evolution,Family,3,1
Robbery Bright,Family,4,2
Conspiracy Spirit,Classics,4,2
Conversation Downhill,Family,4,2
Twisted Pirates,Children,4,2
Tramp Others,Comedy,4,2
Detective Vision,Classics,4,2
Doctor Grail,Children,4,2
Donnie Alley,Animation,4,2
Doom Dancing,Comedy,4,2
Double Wrath,Animation,4,2
Duck Racer,Animation,4,2
Dynamite Tarzan,Classics,4,2
Inch Jet,Animation,6,2
Impact Aladdin,Music,6,2
Hurricane Affair,Comedy,6,2
Hunting Musketeers,Family,6,2
